,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
220,Altria,Data Scientist,"Richmond, VA",NoSalary,3.9,5001 to 10000 Employees,1919,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),"Overview:
Together We Change. Together we Evolve.

Are you passionate about transforming big data into a business strategy? Do you have experience in Data Analytics? Then join Altria as a Data Scientist, where your expertise will directly shape our marketing and sales vision. We’re a Fortune 200 company and a leading player in our industry and passionate about creating positive change. Working within a growing Advanced Analytics team, you’ll improve the way we collect, analyze, and use data as we help our adult tobacco consumers to make better choices.

Altria’s digital evolution

We’re undergoing an exciting transformation at Altria. Led by our new Chief Digital & Technology officer, we’re streamlining processes, improving customer experience, and using cutting-edge intelligence to forecast and respond to trends. Our digital strategy will improve experiences from product development to market, and as a, you’ll be at the heart of this business wide change.






Company Overview: Altria has a leading portfolio of tobacco products for U.S. tobacco consumers age 21+. Altria’s Vision through 2030 is to responsibly lead the transition of adult smokers to a non-combustible future. Altria is Moving Beyond Smoking™, leading the way in moving adult smokers away from cigarettes by taking action to transition millions to potentially less harmful choices - believing it is a substantial opportunity for adult tobacco consumers, Altria’s businesses and society. Altria’s wholly owned subsidiaries include the most profitable tobacco companies in their categories: Philip Morris USA Inc. (PM USA), U.S. Smokeless Tobacco Company LLC (USSTC), and John Middleton Co. (Middleton). Altria’s smoke-free portfolio includes Helix Innovations LLC (Helix), the maker of on! oral nicotine pouches, exclusive U.S. commercialization rights to the IQOS Tobacco Heating System®* and Marlboro HeatSticks®*, and an equity investment in JUUL Labs, Inc. (JUUL). Altria also owns equity investments in Anheuser-Busch InBev SA/NV (ABI), the world’s largest brewer, and Cronos Group Inc. (Cronos), a leading Canadian cannabinoid company. At Altria, we celebrate the power of diverse teams working together to shape our future. We are inspired to bring our best because our unique strengths are valued. We believe our personal success and progress should be guided by Our Cultural Aspiration, a new articulation of what we value and who we aspire to be, collectively. Our Cultural Aspiration respects and complements individual identity, embracing each other’s unique strengths, welcoming newcomers and developing the best, most inclusive and diverse teams. Join us as we work together to shape a better future for adult tobacco consumers, our employees, and our shareholders. Each Altria company is an equal opportunity employer. Learn more about Altria at www.altria.com and follow us on Twitter, Facebook and LinkedIn. *IQOS Devices and HeatSticks® are currently unavailable for sale in the United States."
221,"Vizient, Inc.",Clinical Data Scientist,Remote,"$127,300 /yr (est.)",4.0,1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
$102,400.00 - $152,200.00"
222,Liberty Mutual Insurance,Senior Data Scientist (remote),Remote,"$156,800 /yr (est.)",3.9,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

18"
223,USAA,Data Scientist I (100% Remote Available),"Von Ormy, TX",Visit USAA Website,3.7,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $50 million (USD),"Purpose of Job We are seeking a talented Data Scientist I for our San Antonio, TX; Plano, TX; Phoenix, AZ; Colorado Springs, CO; Tampa, FL and Charlotte, NC facility. This person may also work remotely in a 100% Remote Work Environment.

Candidate selected for this position is going to work with USAA enterprise data office data science team. They will leverage the advanced machine learning method to drive member insights and enhance member experience of the organization.

Job Requirements

About USAA
USAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level.

About USAA IT
Our most meaningful qualification isn't technical, it's human. Here, we don't just sit in front of a screen. We stand behind our 13 million members who rely on us every day.
We're proud of USAA's strong history -- and we're even more passionate about our future. That's why we have a team of supportive and collaborative hardworking technology professionals focused on doing more for our members. And why we're continuing to add innovative problem solvers to our team. With us, you'll find exciting challenges that inspire you to continue learning and growing.


Identifies and manages existing and emerging risks that stem from business activities and the job role.

Ensures risks associated with business activities are effectively identified, measured, monitored, and controlled.

Follows written risk and compliance policies and procedures for business activities.

Partners with other analysts across the organization to fully define business problems and research questions; Supports SME's on cross functional matrixed teams to solve highly complex work critical to the organization.

Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.

Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.

Supports Subject Matter Experts (SME's) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.

Works with IT to research architecture for new products, services, and features.

Develops algorithms and supporting code such that research efforts are based on the highest quality data.

Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions.


Master's degree in Computer Science, Applied Mathematics, Quantitative Economics, Statistics, or related field.

6 additional years of related experience beyond the minimum required may be substituted in lieu of a degree.

4 years of related experience in predictive modeling, large data analysis and computer science.

Proficient knowledge of the function/discipline and demonstrated application of knowledge, skills and abilities towards work products.

Proficient level of business acumen in the areas of the business operations, industry practices and emerging trends.

Experience in data mining and statistical analysis.

Knowledge of Data Science principals and experience with data science methodologies.

Experience with any one of the following statistical and predictive modeling approaches: Gaussian Process; Markov Models; Hierarchical Clustering; K-Means; Linear Regression; Logistic Regression; Monte Carlo Simulation; Neural Networks.

When you apply for this position, you will be required to answer some initial questions. This will take approximately 5 minutes. Once you begin the questions you will not be able to finish them at a later time and you will not be able to change your responses.


Strong Python, SQL or Java skills.

Project experience with Graph Databases such as Neo4j, AWS Neptune or similar.

Worked with data platforms such as Hive in Hadoop, Spark, Snowflake.

Exposure to natural language processing (NLP), deep learning, computer vision,

Model risk experience, or hands-on experience taking models through development and model risk validation, at a financial institution guided by OCC 2011-12 and FRB SR 11-7.

Demonstrated ability to effectively communicate (written and oral) complex analytical and technical concepts to both technical and non-technical employees.

Java-based modeling capabilities (and more specifically agent-based modeling expertise, with knowledge of Anylogic a plus but not required).

The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.


USAA has an effective method for assessing market data and establishing ranges to ensure we remain competitive. You are paid within the salary range based on your experience and market position. The salary range for this skill is: $88,200 - $158,900 *
Employees may be eligible for pay incentives based on overall corporate and individual performance or at the discretion of the USAA Board of Directors.

Geographic pay differential is additional pay provided to eligible employees working in locations where market pay levels are above the national average.

will be addressed on an individual-basis for applicable roles that are consistently scheduled for non-core hours.


At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs. Additionally, our career path planning and continuing education assists employees with their professional goals.

Please click on the link below for more details.
USAA Total Rewards

Relocation assistance is Not Available for this position."
224,Comcast,Principal Data Scientist,"New York, NY",NoSalary,3.9,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"Effectv, the advertising sales division of Comcast Cable, helps local, regional and national advertisers use the best of digital with the power of TV to grow their business. It provides multi-screen marketing solutions to make advertising campaigns more effective and easier to execute. Headquartered in New York with offices throughout the country, Effectv has a presence in 66 markets with nearly 35 million owned and represented subscribers. We’re dedicated to helping our clients meet their business goals by connecting them with their customers through multiscreen television advertising. Working with companies from local startups to nationwide corporations, we provide support to help each business reach its target customers. By applying data to television advertising in new ways, we’re able to bring our clients the best of digital media, coupled with the power of TV. To learn more, check out www.effectv.com.
Job Summary Effectv’s Data Science is growing and hiring a Principal Data Scientist. As a technical leader in the Effectv’s Data Science organization, you will be responsible for researching and applying complex, cutting edge, and scalable algorithms to deliver valuable data and insights to our internal/ external stakeholders. You’ll work with a team of talented data scientists, Big Data engineers, and software developers as you play a key role in developing and delivering the next generation AI/ML solutions to the business. In collaboration with colleagues and leaders, the Principal Data Scientist is responsible for determining long-term vision and providing guidance and analytical support. Your people's first attitude will empower and motivate data scientists to push their abilities to the limit and deliver extraordinary data science products to our business customers.
Job Description

Core Responsibilities
Lead complex interdepartmental data science programs that incorporate solutions across one or more technologies.
Develop data mining, machine learning, statistical and graph-based algorithms designed to analyze massive data sets for business insights and partner with the data engineering team to ensure accurate implementation and usage of algorithms.
Review and evaluate data scientist programs enterprise level to determine appropriate use of algorithm-driven products and solutions.
Educate other departments on data science methodologies, concepts and algorithmic advancements.
Lead a small group of less experienced team members on analytical projects or on cross-functional teams. Frequently serves as team lead on multiple projects, mentor and train junior team members.
Lead development and implementation of scalable big-data driven solutions for accurate targeting of users with relevant business treatments and efficient algorithmic inventory. Manage challenges associated with investigating and understanding large datasets and building models based on Big Data solutions.
Define enterprise data strategy and data monetization processes through analysis of rich streams of unstructured data to find correlations between events and see opportunities to optimize defined desired outcomes.
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.
Other duties and responsibilities as assigned.
Job Specifications
Bachelor’s degree required. Masters/PhD in a quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent) preferred.
Advanced relationship management and interpersonal skills, including partnering and advising senior leaders and external customers.
A team leader, confident in your business acuity, analytics expertise and communication / coordination skills to push through ambiguity and up-skill those around you.
Strong intuition for business, passion for driving strategy, making big changes, and influencing others. You have a history of having measurable impact in close collaboration with operational colleagues.
Experience in using data science methodologies to solve complex business problems (e.g. statistical analysis, research science, machine learning and deep learning techniques, data modeling, regression modeling, demand modeling, etc.), as well as key assumptions and parameters impacting performance.
Extensive knowledge and practical experience in several of the following areas: machine learning, statistical modeling, NLP, deep learning, demand forecasting (statistical or algorithmic).
Supply Chain optimization (i.e. problems dealing with Optimization of Scheduling, Demand Forecasting; Experimental design; Recommendation engines and personalization systems; Price optimization; Multi-touch Attribution

#Effectv


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education
Master's Degree
Relevant Work Experience
10 Years +
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details."
225,Comcast,Sr Data Scientist,"New York, NY",NoSalary,3.9,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"Effectv, the advertising sales division of Comcast Cable, helps local, regional and national advertisers use the best of digital with the power of TV to grow their business. It provides multi-screen marketing solutions to make advertising campaigns more effective and easier to execute. Headquartered in New York with offices throughout the country, Effectv has a presence in 66 markets with nearly 35 million owned and represented subscribers. We’re dedicated to helping our clients meet their business goals by connecting them with their customers through multiscreen television advertising. Working with companies from local startups to nationwide corporations, we provide support to help each business reach its target customers. By applying data to television advertising in new ways, we’re able to bring our clients the best of digital media, coupled with the power of TV. To learn more, check out www.effectv.com.
Job Summary Effectv’s Data Science team is growing and hiring a Senior Data Scientist. As a Senior Data Scientist, you’ll work with a team of talented data scientists, Big Data engineers, Analysts, and software developers as you play a key role in proactively researching and applying advanced machine learning solutions including marketing, supply chain optimization, forecasting, etc. You will work closely with product owners and business stakeholders to deliver impactful data science solutions at significant scale. Your people-first attitude will empower and motivate data scientists to push their abilities to the limit and deliver extraordinary data science products to our business customers.
Job Description

Core Responsibilities
Lead complex interdepartmental data science programs that designs solutions across one or more technologies.
Develop data mining, machine learning, statistical and graph-based algorithms designed to analyze massive data sets for business insights and partner with the data engineering team to ensure proper implementation and usage of algorithms.
Review and evaluate data scientist programs enterprise level to determine appropriate use of algorithm-driven products and solutions.
Educate other departments on data science methodologies, concepts and algorithmic advancements.
Lead a small group of less experienced team members on analytical projects or on cross-functional teams. Frequently serves as team lead on multiple projects, mentor and train junior team members.
L ead development and implementation of scalable big-data driven solutions for accurate targeting of users with relevant business treatments and efficient algorithmic inventory. Manage challenges associated with investigating and understanding large datasets and building models based on Big Data solutions.
Define enterprise data strategy and data monetization processes through analysis of rich streams of unstructured data to find correlations between events and see opportunities to optimize defined desired outcomes.
Consistent exercise of independent judgment and discretion in matters of significance.
R egular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s ) and overtime as necessary.
Other duties and responsibilities as assigned.

Job Specifications
Bachelor’s degree required. Masters/PhD in a quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent) preferred.
Demonstrated experience applying a range of statistical and modeling techniques including hypothesis testing, dimensionality reduction, supervised learning (classification and regression), forecasting, and unsupervised clustering .
Experience in scripting and programming with Python , R or equivalent language and SQL
Experience with large-scale data wrangling with relational databases and/or Spark .
Experience gathering, interpreting, and translating business requirements .
Strong interest in learning and applying new technologies related to Data Science and Data Management .
Ability to communicate sophisticated analytical concepts and results at multiple levels to both technical and non-technical audiences .
Extensive knowledge and practical experience in several of the following areas: machine learning, statistical modeling, NLP, deep learning, demand forecasting (statistical or algorithmic).
Supply Chain optimization ( i.e. problems dealing with Optimization of Scheduling, Demand Forecasting; Experimental design; Recommendation engines and personalization systems; Price optimization; Multi-touch Attribution .


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education
Master's Degree
Relevant Work Experience
7-10 Years
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details."
226,Northrop Grumman,Data Scientist,Maryland,"$126,800 /yr (est.)",4.0,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10030054
Category: Research and Sciences
Location: Unknown City - MD, United States of America
Citizenship Required: United States Citizenship
Clearance Type: None
Telecommute: Yes- May Consider Full Time Teleworking for this position
Shift: 1st Shift (United States of America)
Travel Required: No

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history."
227,Texas Children's Hospital,Data Scientist Senior,"Houston, TX",NoSalary,4.0,10000+ Employees,1954,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"We are searching for a Senior Data Scientist - someone who works well in a fast-paced setting. In this position, you will provide data analysis and have a major role in the development and implementation of advanced analytic tools to meet the needs of various groups within the organization. This role works with a multidisciplinary team to design, develop, and create analytical solutions through applications of data mining, machine learning, artificial intelligence (AI), and emerging technologies. The Senior Data Scientist is also responsible for evaluating data quality, preparing data, generating insights, and developing and presenting high-impact data stories.
Responsibilities
Generates and communicates business and clinical insights, using various techniques and understanding the strengths and risks of different approaches to data analysis"
228,The Mom Project,Data Scientist (100% Remote),Remote,$54.22 /hr (est.),4.4,51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Our Customer’s mission is to give people the power to build community and bring the world closer together. Through their family of apps and services, they are building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together.
We are seeking a Data Scientist on a contract basis to help support our Customer’s business needs. This role entails using analytical techniques to drive impact with our cross-functional partners.

What You’ll Do:
Provide analytical support to our cross-functional partners including pull data utilizing SQL and delivering those results via presentations, reporting, or dashboard development
Support product development with thought leadership on how data should be collected, stored, and utilized
Manage requests and priorities independently
Provide documentation of queries/inbound requests for future use
Create new or improve existing dashboards and analyses to support key stakeholders
Communicate results with internal stakeholders
Understand existing data infrastructure and determine if queries are possible to run/share
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques


4+ years of experience in analytics, data science, or similar field
Advanced proficiency in SQL
Experience problem solving and providing business insights and recommendations from data
Ability to manage multiple concurrent projects and drive initiatives in a cross-functional environment
Ability to communicate complex data issues to audiences of different levels of technical expertise
Experience building out large data sets and pipelines
Python or similar scripting experience


Bachelor’s degree in a technical focus area
MBA or graduate degree in a quantitative field


M-F, 40 hours/week. This role will be remote while COVID restrictions are in place. The expectation is to be onsite at our Customer’s Menlo Park ,CA office once it is determined safe to do so.
All applicants applying for U.S. job openings must be legally authorized to work in the United States and are required to have US residency at the time of application.
Perks are available through our 3rd Party Employer of Record (Available upon completion of waiting period for eligible engagements)
Medical, Dental, Vision, 401k, FSA, Commuter Benefit Program
Up to 15 days per 12 months on assignment
Up to $4,000 for the birth or adoption of a child while on assignment (conditions apply)
In order to create a safe, productive work environment, our client is requiring all contractors to be fully vaccinated according to the CDC guidelines (please inform your employer if you need a medical or religious exemption). Prior to onboarding, contractors will be required to attest that they are fully vaccinated. The expected Return to Office date is July 2022"
229,Envision,Data Scientist,"Saint Louis, MO",NoSalary,5.0,Unknown,NoFounded,Company - Private,NoIndustry,NoSector,Unknown / Non-Applicable,"This role will primarily be focused on supporting the development of agricultural trials that include both split planter/treatment and strip trials and working to further develop the pipeline and support the transition of research models and data into production code. The work would also be focused on further developing the analysis pipeline.

This position is expected to interact with various functions within the company, including data analytics, science, engineering, and product. Attention to detail, intellectual curiosity, and clear technical communication are key for the success of this role.

Required Skills / Experience:
BA/BS in Computer Science, Statistics, Physics, Applied Math, Agronomy, Engineering or a related quantitative discipline with at least a year of data analytics or data science experience."
230,CyberCoders,Data Scientist,"San Jose, CA","$140,000 /yr (est.)",4.1,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Data Scientist
We are a Series-B, Healthcare Technology company that is making fertility care more affordable, successful, and predictable for women, couples, and families around the world! We offer an AI platform that provides an accurate prediction on the probability of having a baby which then lay's out a realistic cost for treatment. Our services are offered to clinics and customers across the globe!

You will report to the co-founder/CEO and work with our Data Science team. You will perform critical functions including developing, maintaining, and executing ML Ops, data processing, and modeling pipelines. You will also be responsible for generating and investigating ideas for innovative technological solutions to increase the quality of our products and platform, primarily focused on structured health data. You will work with our interdisciplinary team comprising of lead architects, web developers, data scientists, client services teams, program managers, and QA teams to build client-facing solutions.

Candidates with a strong background and knowledge in machine learning applications and statistics to life science or healthcare problems are highly encouraged to apply.
environment.



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
231,Brooksource,Data Scientist,Remote,$55.00 /hr (est.),4.0,501 to 1000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Finance Technology Data Scientist
Fully Remote
12 Month Contract-to-Hire
Overview:
Our client (Fortune 10) is developing centralized systems, data and tools that provide a streamlined way to manage their business and solve business problems effectively. We are searching for an industry minded Data Scientist who can help shape and mold the data for our company to build data sets/models and systems to drive prescriptive meaning of the data, forecasting capability and even apply machine learning capabilities within our data governance capabilities."
232,Matlen Silver,Sr. Data Scientist,"Roseland, NJ",NoSalary,3.8,201 to 500 Employees,1980,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Must Have:
Python
Statistical Analysis
SQL
Deep Learning/Machine Learning/NLP Experience
Ability to provide guidance to junior team members on classification & extraction projects
Strong knowledge and experience with NLP such as POS tagging, chunking, named entity recognition, parsing, sentiment analysis, topic detection, etc.
Job Description"
233,Insight Global,Data Scientist,Remote,"$120,000 /yr (est.)",3.9,1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"Must Haves:
PhD in quantitative studies i.e. Data Science, Econ, Statistics, Operational Research, Mathematics, Physics, etc.
Experience in a modern scripting language
Knowledgeable in Prescriptive Modelling, like optimization
Proficient running queries against data
Proficient with data visualization software
Proficient utilizing statistical techniques to identify key insights that help solve business problems
Plusses:"
234,CyberCoders,REMOTE Senior Data Scientist,"Palo Alto, CA","$165,000 /yr (est.)",4.1,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"REMOTE Senior Data Scientist
If you are a REMOTE Senior Data Scientist with experience, please read on!
Top Reasons to Work with Us
HQ'd in Mountain View, CA is a stimulating opportunity for Engineers who love a challenge. We are a Computer Vision/Geospatial startup that just raised a $45M Series ($75M total) that focusing our efforts on Engineering hiring. We utilize GIS/CV technology for commercial and ressidential property assessment at the time of underwriting. Our technology has the same attention to detail but without the requirement of being onsite.
What You Will Be Doing
Responsibilities:






All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
235,MAKE Corporation,Data Scientist,Remote,$60.00 /hr (est.),4.1,51 to 200 Employees,NoFounded,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD),"Data Scientist
#MG– 36808
Location: Various, IL
Duration: 6 Months+
Responsibilities
Maintain existing business reporting and analytical solutions
· Develop advanced analytics solutions including customer segmentation, optimization, test & design of experiments and prescriptive analytics to solve business problems."
236,Engtal,Senior Data Scientist - Natural Language Processing,Remote,"$175,000 /yr (est.)",5.0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),"To solve climate change, wealth inequality, supply chain stability, and national security we must change how our global supply chains work. We are a Trusted Commerce Platform built on a shared source of truth for the global supply chain. The purpose of our company is to enable resilient, sustainable, secure, and inclusive global commerce: Globalization 2.0.
We have built a layer of shared intelligence across the world’s supply chain information: a living map of trillions of dollars of B2B commercial activity, covering 400M companies connected by billions of shipments. This knowledge graph powers our Trusted Commerce Platform which, after only three years since founding, is already used by many of the world’s most important governments, enterprises, and logistics providers.
Our product suite enables our customers to gain unprecedented visibility, benefit from shared artificial intelligence across a federated network of data, and interact across the network through a shared source of truth. We help our customers to build and manage trusted global supply chains."
237,Harnham,Senior Data Scientist,Remote,"$150,000 /yr (est.)",4.0,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"SENIOR DATA SCIENTIST
FULLY REMOTE
$140,000 - $160,000 + BONUS & EQUITY
THE COMPANY
A leading medical technology company that offers innovative products and services to help improve patient and hospital outcomes are building out their data science team to advance the company's products and finances.
RESPONSIBILITIES:"
238,Brooksource,Principal Data Scientist,Remote,$85.00 /hr (est.),4.0,501 to 1000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Principal Data Scientist
Fully Remote (Tampa, FL)
Our Global Retail and Manufacturing Client is looking for a leader with strong technical depth and experience in using AI and ML to enable predictive and prescriptive analytics. They will set the direction for the roadmap for where we will first apply data science within the business as well as have a strong say in the technology suite of tools to utilize. This individual will understand beginning steps and end goal, utilizing knowledge of Use Cases to communicate with the business.
Summary of Responsibilities:
Adequately write and edit Use Cases from scratch starting with the User’s/Business’s Goals."
239,Engtal,NLP Data Scientist,Remote,"$155,000 /yr (est.)",5.0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),"Our mission is to bring health, wellbeing, and a bit of magic to every family.
We started by improving children's sleep, and our popular app has 4.9 out of 5.0 stars on the App Store. While we will continue to build out the existing offering, we are excited to broaden our help to families into new areas, in fresh ways that make pediatric expertise accessible to all.
You would join our growing team that includes Berkeley Ph.D.s in computer science and predictive analytics, user-centric designers, and experienced pediatric experts trained in evidence-based practices.
The Opportunity
We are excited to expand the AI and ML team to include a Data Scientist with expertise in Natural Language Processing. The position will help us to expand our capabilities utilizing our large corpus of unstructured text data. The person will be expected to perform duties such as: researching and building machine learning solutions using text data, feature engineering using text data, and developing solutions utilizing state-of-the-art methods for Analytics and Machine Learning. These will allow for AI, ML, and Analytics to use new data types in models and gain insight into our data."
240,NoName,NoTitle,NoLocation,NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,NoDscrb
241,Northrop Grumman,Sr. Principal Data Scientist,Maryland,"$157,200 /yr (est.)",4.0,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10028270
Category: Research and Sciences
Location: Unknown City - MD, United States of America
Citizenship Required: United States Citizenship
Telecommute: Yes- May Consider Full Time Teleworking for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history."
