,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
103,Apple,Senior Data Scientist,"Mesa, AZ",Visit Apple Website,4.2,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Summary
Posted: Aug 19, 2021
Weekly Hours: 40
Role Number:200266700
Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your career and there's no telling what you could accomplish! We are looking for an experienced senior data analyst or data scientist comfortable with very large compute data sets from multiple sources! You will be responsible for analyzing complex data related to compute and network infrastructure to provide insights to key leaders on improvements in monitoring, tooling, automation, and processes. On our team you must be able to independently identify trends that create inefficiencies in an operations environment. Use data to determine if they are process related or otherwise. Must be able craft a compelling story from the data and present solutions to leaders at all levels."
104,Technology Navigators,"REMOTE Senior Data Scientist - AI/ML, Python, SQL",Remote,$75.00 /hr (est.),3.9,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"No sponsorship available. No third-party candidates.
This position is 100% REMOTE. Qualified applicants must reside within the United States.
Powering more than a TRILLION transactions on a weekly basis, this SaaS powerhouse company consistently generates data-driven results to help their global clientele communicate more effectively with buyers.
We’re searching for a skilled Senior Data Scientist with a solid technical background to join our client’s growing technical team. You’ll get to play a critical role in providing audience insights for end-clients who successfully leverage data assets and media partner exposure data.
What you get to do:"
105,Jellysmack,Data Scientist,"New York, NY",NoSalary,4.1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
The Team Culture
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?
The Data Scientist will be part of a team of 10+ analysts and be the gatekeeper for the organization’s data so that stakeholders can understand the data and use it to make strategic business decisions."
106,Apple,Data Visualization Specialist -,"Austin, TX",Visit Apple Website,4.2,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Summary
Posted: Jan 27, 2022
Role Number: 200338074
Would you like to design the future of analytics? Apple is seeking a Business Intelligence Data Visualization Specialist to join a team passionate about crafting analytic experiences that simplify data into insights and catalyze decision making. The WPC Data Science and Analytics Engineering team collaborates with a wide variety of partners within Apple to optimize user experience and systems efficiency across Apple Media Products (App Store, Apple Music, etc.) The job is multi-functional and requires making sense of Internet-scale data across numerous product and customer touch points. It requires proficiency using statistics and visualizations to answer specific questions, design thinking about personas and data schemas, expert data visualization skills, and most importantly, a passion for crafting scalable reporting strategies to communicate results to all levels of the company. We encourage anyone who approaches problem solving with curiosity and imagination to apply. We value people with a desire to learn new skills and a demeanor that views challenging problems as opportunities for insight. Our work impacts products and services used by millions of people worldwide."
107,Allstate,Senior Data Scientist Manager (Remote - Home Based Worker),"Northbrook, IL","$140,350 /yr (est.)",3.5,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"The world isn’t standing still, and neither is Allstate. We’re moving quickly, looking across our businesses and brands and taking bold steps to better serve customers’ evolving needs. That’s why now is an exciting time to join our team. You’ll have opportunities to take risks, challenge the status quo and shape the future for the greater good.
You’ll do all this in an environment of excellence and the highest ethical standards – a place where values such as integrity, inclusive diversity and accountability are paramount. We empower every employee to lead, drive change and give back where they work and live. Our people are our greatest strength, and we work as one team in service of our customers and communities. Plus, Allstate is changing how, when, and where we work-to lead us boldly into our future. We're empowering our employees to create better ways of working through more intentional use of communication and collaboration practices, processes and tools.
Everything we do at Allstate is driven by a shared purpose: to protect people from life’s uncertainties so they can realize their hopes and dreams. For more than 89 years we’ve thrived by staying a step ahead of whatever’s coming next – to give customers peace of mind no matter what changes they face. We acted with conviction to advocate for seat belts, air bags and graduated driving laws. We help give survivors of domestic violence a voice through financial empowerment. We’ve been an industry leader in pricing sophistication, telematics, digital photo claims and, more recently, device and identity protection. We are the Good Hands. We don’t follow the trends. We set them. Job Family Summary:

Data, Discovery, and Decision Science (D3) is the research and analytics organization at Allstate. In D3, you’ll be surrounded by 360+ tenacious and intellectually curious colleagues in an inclusive culture that encourages you to take risks, challenge the status quo and shape the future for the greater good. We are solving some of today’s most complicated analytics problems, making the lives of our Allstate colleagues easier and more productive, and driving our mission to deliver targeted insurance solutions to our customers. We are partnering to incorporate analytics into every aspect of the enterprise. We are avid about learning new ways to get the most value from our massive data resources and leading-edge technology. We are committed to building an inclusive and diverse team where everyone has an equal opportunity to succeed. We strive to hire people from different backgrounds so that we can better serve our diverse customer needs.


Traditionally, filing an insurance claim consists of a lengthy initial call, followed by a complex experience of several phone calls, emails and paperwork to indemnify the involved parties. This is a time-consuming process and not the type of experience customers have come to expect in 2022. For this reason, Allstate has launched a 3-pronged digital initiative to transform the way that claims are handled:

1. Redesign and simplify the claims process to be customer centric.
2. Provide technology solutions for asynchronous claims handling, allowing customers to interact with Allstate in the manner they prefer, at the time they prefer.
3. Identify and build data science solutions for usage in this new digital process to expedite the handling of the claim and reduce customer effort in completing the process more rapidly.

As a D3 Claims Digital Transformation Manager, you'll be responsible for the data science arm of this transformation. To support this transformation, you'll partner with Allstate teams in solving business problems using data science. You'll work closely with technology and claims to build and execute on a data science roadmap. Claims, technology and data science will work together as one team to accomplish a common goal.

You will lead a diverse team of data scientists, data engineers and business consultants to drive rapid change. In addition to traditional machine learning, your team will also have responsibility for building computer vision and natural language processing models. In the spirit of agile, you will lead the team to quickly develop analytic prototypes, test the prototypes in market, develop the prototypes into full products, deploy the products for widespread usage, and continue iterating on these products.


This job does have supervisory duties. Education and Experience:

Education and Experience
Compensation Data
The compensation range for this position is $119,700 and $161,000 per year, based on experience and qualifications.
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy. For a full description of Allstate’s benefits, visit allstate.jobs/benefits

Learn more about life at Allstate. Connect with us on Twitter , Facebook , Instagram and LinkedIn or watch a video .

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click “ here ” for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click “ here ” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “ here ”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click “ here ”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment."
108,NoName,NoTitle,NoLocation,NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,NoDscrb
109,Texas Children's Hospital,Data Scientist Senior,"Houston, TX",Visit Texas Children's Hospital Website,4.0,10000+ Employees,1954,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"We are searching for a Senior Data Scientist - someone who works well in a fast-paced setting. In this position, you will provide data analysis and have a major role in the development and implementation of advanced analytic tools to meet the needs of various groups within the organization. This role works with a multidisciplinary team to design, develop, and create analytical solutions through applications of data mining, machine learning, artificial intelligence (AI), and emerging technologies. The Senior Data Scientist is also responsible for evaluating data quality, preparing data, generating insights, and developing and presenting high-impact data stories.
Responsibilities
Generates and communicates business and clinical insights, using various techniques and understanding the strengths and risks of different approaches to data analysis"
110,Ursus,Data Scientist Project Manager,"Austin, TX",NoSalary,4.2,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),"Job Title: Data Project Manager
Location: Austin, TX
Duration: 1 Year

Responsibilities
Data Management and Back-End Processes
Build data expertise and own data quality for allocated areas of ownership
Manage the delivery of dashboards, tools and data visualizations for both technical and non-technical audiences"
111,Pitney Bowes,Data Scientist (Banking/Financials),California,Visit Pitney Bowes Website,3.6,10000+ Employees,1920,Company - Public,Shipping,Transportation & Logistics,$2 to $5 billion (USD),"At Pitney Bowes, we do the right thing, the right way. As a member of our team, you can too.

We have amazing people who are the driving force, the inspiration and foundation of our company. Our thriving culture can be broken down into four components: Client. Team. Win. Innovate.
We actively look for prospects who:
Are passionate about client success.
Enjoy collaborating with others.
Strive to exceed expectations.
Move boldly in the quest for superior and best in market solutions."
112,CyberCoders,REMOTE Senior Data Scientist - Cybersecurity,"Palo Alto, CA","$165,000 /yr (est.)",4.1,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"REMOTE Senior Data Scientist - Cybersecurity
If you are a Senior Data Scientist with experience, please read on!

Headquartered in the Bay Area with remote teams across the nation, we are a booming SaaS startup focusing on cybersecurity solutions! Due to growth and demand for our services, we are urgently looking to add a Senior Data Scientist to our diverse and growing team!
Top Reasons to Work with Us
HUGE opportunity for growth!
Competitive base salary!
Cutting-edge tech!
What You Will Be Doing



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
113,Jarvis Recruitment Group,Data Scientist - Up to $150k - Remote,Remote,"$150,000 /yr (est.)",4.9,51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"We are looking for an enthusiastic and talented Data Scientist for one of the fastest growing lifestyle brands. This is a full-time permanent position based remotely. Open to US candidates only!
Key responsibilities:
Maintain the internal Data Warehouse in Daasity which hosts various data sources.
Create, maintain dashboards and reports in Looker
Work with executives and other business leaders to identify opportunities for improvement.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies."
114,Master EOI,Data Scientist,Remote,Visit Master EOI Website,NoRating,Unknown,NoFounded,Company - Private,NoIndustry,NoSector,Unknown / Non-Applicable,"Bachelor’s degree or four or more years of work experience.
3 or more years of relevant work experience.
3 or more years of experience developing software applications.
2 or more years of experience specifically working on data science and machine learning.
Excellent understanding of machine learning techniques and statistical methods Algorithms for Time Series analysis, GMM, Clustering, Predictive, Supervised and Unsupervised Machine Learning.
Experience with AWS, building and train sophisticated custom ML models.
Experience with common data science toolkits, such as Python, Jupyter Notebook, Sage-maker, JAVA, R and other programming languages and machine learning libraries."
115,Engtal,Senior Data Scientist - Natural Language Processing,Remote,"$175,000 /yr (est.)",5.0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),"To solve climate change, wealth inequality, supply chain stability, and national security we must change how our global supply chains work. We are a Trusted Commerce Platform built on a shared source of truth for the global supply chain. The purpose of our company is to enable resilient, sustainable, secure, and inclusive global commerce: Globalization 2.0.
We have built a layer of shared intelligence across the world’s supply chain information: a living map of trillions of dollars of B2B commercial activity, covering 400M companies connected by billions of shipments. This knowledge graph powers our Trusted Commerce Platform which, after only three years since founding, is already used by many of the world’s most important governments, enterprises, and logistics providers.
Our product suite enables our customers to gain unprecedented visibility, benefit from shared artificial intelligence across a federated network of data, and interact across the network through a shared source of truth. We help our customers to build and manage trusted global supply chains."
116,Calance US,Jr. Data Scientist,"Plano, TX",NoSalary,3.9,201 to 500 Employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"FOR IMMEDIATE DETAILS about this position, please contact:

SUMIT KUMAR (714) 576-7031 // Sumit.Kumar@calance.com
MICHELL CASEY (949) 860-4715 // MCasey@calance.com

=============================================
** We will NOT accept 3rd Party (C2C) Contractors **
=============================================

Position: Jr. Data Scientist
JOB REF#: 1064612
Duration: 12 Months (Contract)
Location: Plano, TX 75024 (Hybrid)
Rate: Open/Market Rate (W2 ONLY)

Need to be able to start ASAP, so we are not able to hire someone who needs sponsorship.

We are looking for people at are at the entry level, someone who has done part of CO-OPS or internship or 1-2 yrs of exp, this 1 doesn't require Machine learning Exp.

REQUIRED SKILLS/EXPERIENCE:
** This role will be a Hybrid role, so you must be local or willing to relocate at your own expense

DESIRED:

Calance Consultant Benefits Offerings:
- Vision - VSP (Vision Plan Summary)"
117,Food Management Search,Remote Data Scientist,"Delray Beach, FL",NoSalary,NoRating,1 to 50 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Job Description
We are seeking an experienced data scientist to deliver that insight to us on a daily basis. Our ideal team member will have the mathematical and statistical expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. As you mine, interpret, and clean our data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—all with the ultimate goal of realizing the data’s full potential. You will join a team of data specialists, but will “slice and dice” data using your own methods, creating new visions for the future.
Objectives of this Role
Collaborate with product design and engineering to develop an understanding of needs"
118,"V-Soft Consulting Group, Inc.",Data Scientist,"Boston, MA",NoSalary,3.8,501 to 1000 Employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Data Scientist
Primary Location – Boston, Massachusetts

V-Soft Consulting is currently hiring for a Data Scientist for our premier client in Boston, Massachusetts. This is a contract position.

Knowledge, Skills and Abilities »
Recent graduate degrees in data science, computer science, statistics, operations research, or related fields. AI/ML methods."
119,Insight Global,Principal Data Scientist - REMOTE,"Blue Bell, PA","$190,000 /yr (est.)",3.9,1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"JOB DESCRIPTION
Our Healthcare Insurance client is looking for a Principal Data Scientist. This position is fully remote work from home and is a permanent position with an annual salary of $180-200K + bonus. We are looking for a Data Scientist with a strong background in Security.

This Data Scientist will deliver key insights to our customers by leveraging innovations in data science, machine & deep learning, and predictive modeling techniques to detect anomalies and security threats to protect assets and its consumers. Responsible for establishing security strategies, utilizing industry security standards, normative comparisons with industry peers, best practice research, and business-specific and technology requirements. Helps define, drive and deliver all aspects of the data science product lifecycle, from requirements gathering, education, and strategy, to study design, solution architecting, programming, testing, implementation, delivery, and iteration of data science analytics products."
120,Praescient Analytics,Data Scientist,"Washington, DC","$150,000 /yr (est.)",3.4,51 to 200 Employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),"Data Scientist
Clearance: None Required
Type: Full-Time
Start Date: Immediately
Salary: Negotiable, Based on Experience
Location: Washington, DC
Travel: None
Praescient Analytics, LLC is a Veteran-led, certified Woman-Owned Small Business (WOSB) founded in 2011 which specializes in implementing advanced analytics solutions across the defense, intelligence, and law enforcement communities. With over 40 contracts across 6 continents, over 70% of our employees are veterans and or have intelligence, law enforcement or counter fraud experience. We fully understand the unique challenges of our clients and work to identify, vet, implement, and enhance commercial and proprietary technologies to provide full scope solutions, because we have been there. Praescient has extensive experience designing, developing, and integrating solutions for customers including the US Army, Special Operations Command (SOCOM), US Navy (USN), US Marine Corps (USMC), US Coast Guard (USCG), Department of Justice (DOJ), Drug Enforcement Administration (DEA), and Federal Bureau of Investigation (FBI), Immigration and Customs Enforcement (ICE), intelligence community, and local law enforcement agencies, among others."
121,General Motors,Entry Level Information Technology,"Roswell, GA",NoSalary,4.0,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),"We are looking for individuals who are innovative and creative problem solvers who get things done!
GM IT is a leader in cutting edge technologies such as Mobility, Telematics, Mission-Critical Business Systems, Supercomputing, Vehicle Engineering, Real-time Computing and Cloud Computing. We offer exciting positions for passionate professionals looking to get in on the ground-floor of a growing “Fortune 5” firm that is re-inventing IT with a laser focus on Innovation, Speed, and Business Value.
We are seeking Information Technology students graduating between January 2020 – September 2022, who:
Have a steadfast drive for excellence"
122,General Dynamics,Sr Data Scientist,"Washington, DC","$158,611 /yr (est.)",3.8,10000+ Employees,1952,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Type of Requisition:
Pipeline
Clearance Level Must Currently Possess:
Secret
Clearance Level Must Be Able to Obtain:
Secret
Suitability:
No Suitability Required
None
Data Science
The likely salary range for this position is $118,810 - $198,411, this is not, however, a guarantee of compensation or salary; rather, salary will be set based on experience, geographic location and possibly contractual requirements and could fall outside of this range.
40
10-25%
Telecommuting 100%
USA DC Washington
Any Location / Remote
Our benefits package for all US-based employees includes a variety of medical plan options, some with Health Savings Accounts, dental plan options, a vision plan, and a 401(k) plan offering the ability to contribute both pre and post-tax dollars up to the IRS annual limits and receive a company match. To encourage work/life balance, GDIT offers employees full flex work weeks where possible and a variety of paid time off plans, including vacation, sick and personal time, holidays, paid parental, military, bereavement and jury duty leave. To ensure our employees are able to protect their income, other offerings such as short and long-term disability benefits, life, accidental death and dismemberment, personal accident, critical illness and business travel and accident insurance are provided or available. We regularly review our Total Rewards package to ensure our offerings are competitive and reflect what our employees have told us they value most."
123,Zynex Medical,Data Scientist - Algorithm Engineer,"Boulder, CO","$120,000 /yr (est.)",3.8,201 to 500 Employees,1996,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,"Data Scientist-Algorithm Engineer
The Data Scientist/Algorithms Engineer is responsible for working with project teams in defining the need for mathematical/statistical/algorithm development in any given project or process; generating mathematical analyses and algorithms; performing statistical analyses; performing experiments; and documenting research and development efforts.
Join us in developing the next generation of non-invasive patient monitoring devices that will change standards of care, improve patient outcomes, and save lives. If you are looking to join an amazing company that is passionate about making a difference in patient’s lives, then Zynex is the place for you.
Location: Hybrid position, combination of remote, Boulder, CO and/or Englewood, CO"
124,Nearly Human AI,Senior Data Scientist/Machine Learning Software Engineer,"Harrisburg, PA","$90,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"About us
Nearly Human AI is a cutting edge technology company that specializes in cloud based machine learning and AI automation. We are currently in product development of a conversational virtual employee that will revolutionize how our clients approach their business models in clean energy, social services, law enforcement and national defense.
PLEASE NOTE: This position requires a US Government clearance. You do not have to currently hold a security clearance, but you MUST be a US Citizen, have a background free of any felonies and be willing to submit to the clearance process. H-1B or Green Card holders are not eligible for this position. If you have recent education or work history abroad on your resume, please indicate in your application that you are a US citizen to avoid having your application rejected.
Seeking a motivated, skilled data scientist to join a fast-paced team set to disrupt the AI market. Nearly Human is a startup brand that recently secured funding to launch a revolutionary virtual employee system. We will move the industry from annoying bots that are merely glorified FAQ sheets, to Nearly Human virtual employees that can automatically detect issues and opportunities as they arise. We provide intelligent, conversational help with complex problems and seamlessly assist human agents."
125,Indeed,Product Scientist I,Remote,"$115,000 /yr (est.)",4.4,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
126,Indeed,Product Scientist II,Remote,"$144,000 /yr (est.)",4.4,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
127,Amica Mutual Insurance Company,Data Scientist,"Lincoln, RI",NoSalary,3.3,1001 to 5000 Employees,1907,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),"Data Scientist (Enterprise Data Solutions)
100 Amica Way, Lincoln, RI 02865
Want to join a company where doing good is what we do?
The feeling is mutual!
We’re redefining excellent customer experiences. Data drives that process.
As a Data Scientist, you’ll be tasked with leveraging structured and unstructured data sources to drive business outcomes. You’ll develop custom data models and algorithms as well as predictive models to increase and optimize customer experiences. Beyond the data, you’ll also have the opportunity to communicate these complex statistical analyses to non-technical stakeholders with both actionable insights and compelling stories."
128,Cheef Holdings Inc,Data Analyst,"Los Angeles, CA","$157,500 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Cheef Holdings, a digital consultancy, focuses on creating client-facing and B2B solutions for a variety of e-commerce companies. We are looking for a well versed Data Scientist with a Business Analyst understanding to join our team, working directly with the CMO solving problems that help build a revenue and cost analytics platform with a significant data pipeline focus. This position will focuses heavily on analyzing e-commerce and marketing data. This includes marketing KPIs, marketing trends, analyzing growth opportunities and customer experience.
Communicate with executives on the team to understand and define business needs, providing analytical solutions.
Communicate results to technical and non-technical audiences
Cleanse and validate data in an efficient and reusable manner, developing predictive or prescriptive models, and evaluating modeling results"
129,Indeed,Staff Product Scientist - Experimentation Platform,Remote,"$201,500 /yr (est.)",4.4,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
The Experimentation Platform team builds and maintains Indeed's A/B Experiments platform with tools supporting the implementation, planning, execution, and conclusion of experiments. Experimentation and data-driven decision-making are core to Indeed’s product development culture. Indeed executes thousands of A/B Experiments a year, exposed to hundreds of millions of users.

Our team’s mission is to make it simple and safe to set up and run different types of A/B Experiments and reach conclusions in a fast and accurate manner.

We are seeking an experienced product/data scientist to help us create a next-generation experimentation platform powered by analytics and user behavior. In this role, you will help guide the vision for and build this new system from end to end.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
130,NoName,NoTitle,NoLocation,NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,NoDscrb
131,WALTLabs.io,Data Scientist (US),"Harris, TX","$80,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"We started in 2012 as a hosting and managed services provider, until 3 years ago when we built a cloud tool we call WALT. In the beginning, WALT was just an acronym for us. It stands for Web Application Load Tester and that is all it did. However, it was the start to what is now many push button deployments for the primary cloud platforms available today. In honor of our flagship product and in an effort to capture the creativity of this creation, we adopted the name entirely!
Here at WALT, we deliver innovation through emerging technology. We take a DevOps approach to application modernization and cloud migration. As a cloud focused organization, we offer cloud migration services, G Suite implementations, enterprise class DevOps support, professional and managed services. About the role:
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Data Mining, R, SQL, PythonData Mining, R, .NET, SQL, Python, Scala, Java, C++, Tableau, Hadoop"
132,Apple,Data Visualization Specialist -,"Austin, TX",Visit Apple Website,4.2,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Summary
Posted: Jan 27, 2022
Role Number: 200338074
Would you like to design the future of analytics? Apple is seeking a Business Intelligence Data Visualization Specialist to join a team passionate about crafting analytic experiences that simplify data into insights and catalyze decision making. The WPC Data Science and Analytics Engineering team collaborates with a wide variety of partners within Apple to optimize user experience and systems efficiency across Apple Media Products (App Store, Apple Music, etc.) The job is multi-functional and requires making sense of Internet-scale data across numerous product and customer touch points. It requires proficiency using statistics and visualizations to answer specific questions, design thinking about personas and data schemas, expert data visualization skills, and most importantly, a passion for crafting scalable reporting strategies to communicate results to all levels of the company. We encourage anyone who approaches problem solving with curiosity and imagination to apply. We value people with a desire to learn new skills and a demeanor that views challenging problems as opportunities for insight. Our work impacts products and services used by millions of people worldwide."
133,Lumen,Sr. Lead Data Scientist (remote with Lumen's Black Lotus Labs),Remote,Visit Lumen Website,3.3,10000+ Employees,1930,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"About Lumen
Lumen is guided by our belief that humanity is at its best when technology advances the way we live and work. With 450,000 route fiber miles serving customers in more than 60 countries, we deliver the fastest, most secure global platform for applications and data to help businesses, government and communities deliver amazing experiences. Learn more about Lumen’s network, edge cloud, security and communication and collaboration solutions and our purpose to further human progress through technology at news.lumen.com, LinkedIn: /lumentechnologies, Twitter: @lumentechco, Facebook: /lumentechnologies, Instagram: @lumentechnologies and YouTube: /lumentechnologies.
The Role
Black Lotus Labs has an opening for a data scientist that will leverage Lumen’s unique visibility to hunt advanced actors and scale discovery of evolving malicious threats. Our distinctive data sets as well as our computing cluster present exciting opportunities to integrate machine learning and graph analytic techniques as we find new ways to hunt for threats across the internet. ."
134,Apple,Senior Data Scientist,"Mesa, AZ",Visit Apple Website,4.2,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Summary
Posted: Aug 19, 2021
Weekly Hours: 40
Role Number:200266700
Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your career and there's no telling what you could accomplish! We are looking for an experienced senior data analyst or data scientist comfortable with very large compute data sets from multiple sources! You will be responsible for analyzing complex data related to compute and network infrastructure to provide insights to key leaders on improvements in monitoring, tooling, automation, and processes. On our team you must be able to independently identify trends that create inefficiencies in an operations environment. Use data to determine if they are process related or otherwise. Must be able craft a compelling story from the data and present solutions to leaders at all levels."
